name,type,attributeConstraint,isRequired,isSearchable,label.de,label.en,label.it,enumKey,enumLabel,enumLabel.de,enumLabel.en,enumLabel.it,textInputHint,isVariant
,,,,,,,,46.5,46.5,,,,,
,,,,,,,,47,47,,,,,
,,,,,,,,47.5,47.5,,,,,
,,,,,,,,70,70,,,,,
,,,,,,,,75,75,,,,,
,,,,,,,,80,80,,,,,
,,,,,,,,85,85,,,,,
,,,,,,,,90,90,,,,,
,,,,,,,,95,95,,,,,
,,,,,,,,100,100,,,,,
,,,,,,,,105,105,,,,,
,,,,,,,,110,110,,,,,
,,,,,,,,115,115,,,,,
,,,,,,,,120,120,,,,,
color,lenum,None,false,true,Filterfarbe,Filtercolor,Filtercolor,black,black,schwarz,black,nero,,
,,,,,,,,grey,grey,grau,grey,grigio,,
,,,,,,,,beige,beige,beige,beige,beige,,
,,,,,,,,white,white,weiss,white,blanco,,
,,,,,,,,blue,blue,blau,blue,blu,,
,,,,,,,,brown,brown,braun,brown,marrone,,
,,,,,,,,turquoise,turquoise,türkis,turquoise,turchese,,
,,,,,,,,petrol,petrol,petrol,petrol,petrol,,
,,,,,,,,green,green,grün,green,verde,,
,,,,,,,,red,red,rot,red,rosso,,
,,,,,,,,purple,purple,lila,purple,porpora,,
,,,,,,,,pink,pink,rosa,pink,rosa,,
,,,,,,,,orange,orange,orange,orange,arancione,,
,,,,,,,,yellow,yellow,gelb,yellow,giallo,,
,,,,,,,,oliv,oliv,oliv,oliv,oliva,,
,,,,,,,,gold,gold,gold,gold,oro,,
,,,,,,,,silver,silver,silber,silver,argento,,
,,,,,,,,multicolored,multicolored,mehrfarbig,multicolored,policromo,,
colorFreeDefinition,ltext,None,false,true,Farbbezeichnung,Color Description,Color Description,,,,,,SingleLine,
season,text,SameForAll,false,false,Saison,Season,Season,,,,,,SingleLine,
details,set:ltext,None,,,Details,Details,Details,,,,,,SingleLine,
style,enum,None,false,true,Stil,Style,Style,business,business,,,,,
,,,,,,,,sporty,sporty,,,,,
,,,,,,,,evening,evening,,,,,
gender,enum,SameForAll,false,true,Zielgruppe,Gender,Gender,men,Herren,,,,,
,,,,,,,,women,Damen,,,,,
designer,enum,SameForAll,false,true,Designer,Designer,Designer,7forallmankind,7 for all mankind,,,,,
,,,,,,,,8pm,8PM,,,,,
,,,,,,,,acquarama,Acquarama,,,,,
,,,,,,,,albertoguardiani,Alberto Guardiani,,,,,
,,,,,,,,alden,Alden,,,,,
,,,,,,,,allude,Allude,,,,,
,,,,,,,,altea,Altea,,,,,
,,,,,,,,arsuk,Arsuk,,,,,
,,,,,,,,aspesi,Aspesi,,,,,
,,,,,,,,barbour,Barbour,,,,,
,,,,,,,,bark,Bark,,,,,
,,,,,,,,bernardo,Bernardo,,,,,
,,,,,,,,bettacorradi,Betta Corradi,,,,,
,,,,,,,,betterrich,Better Rich,,,,,
,,,,,,,,blauer,Blauer,,,,,
,,,,,,,,bonfanti,Bonfanti,,,,,
,,,,,,,,brunobordese,Bruno Bordese,,,,,
,,,,,,,,bully,Bully,,,,,
,,,,,,,,canadagoose,Canada Goose,,,,,
,,,,,,,,cantarelli,Cantarelli,,,,,
,,,,,,,,circolo1901,Circolo1901,,,,,
,,,,,,,,crime,Crime,,,,,
,,,,,,,,cycle,Cycle,,,,,
,,,,,,,,dkny,DKNY,,,,,
,,,,,,,,drows,D.R.O.W.S.,,,,,
,,,,,,,,danielealessandrini,Daniele Alessandrini,,,,,
,,,,,,,,dondup,Dondup,,,,,
,,,,,,,,doucals,Doucals,,,,,
,,,,,,,,drmartens,Dr. Martens,,,,,
,,,,,,,,duvetica,Duvetica,,,,,
,,,,,,,,elisabettafranchi,Elisabetta Franchi,,,,,
,,,,,,,,entreamis,Entre Amis,,,,,
,,,,,,,,etro,Etro,,,,,
,,,,,,,,futuro,Futuro,,,,,
,,,,,,,,gabs,Gabs,,,,,
,,,,,,,,gms75,GMS-75,,,,,
,,,,,,,,gum,GUM,,,,,
,,,,,,,,harriswharf,Harris Wharf,,,,,
,,,,,,,,herno,Herno,,,,,
,,,,,,,,himons,Himons,,,,,
,,,,,,,,hogan,Hogan,,,,,
,,,,,,,,hosio,Hosio,,,,,
,,,,,,,,ikkii,Ikkii,,,,,
,,,,,,,,imperfect,Imperfect,,,,,
,,,,,,,,invicta,Invicta,,,,,
,,,,,,,,jacobcohen,Jacob Cohen,,,,,
,,,,,,,,jeffreycampbell,Jeffrey Campbell,,,,,
,,,,,,,,jijil,Jijil,,,,,
,,,,,,,,kangra,Kangra,,,,,
,,,,,,,,karllagerfeld,Karl Lagerfeld,,,,,
,,,,,,,,lamartina,La Martina,,,,,
,,,,,,,,lardini,Lardini,,,,,
,,,,,,,,leahtercrown,Leahter Crown,,,,,
,,,,,,,,lepandorine,Le Pandorine,,,,,
,,,,,,,,levoliere,Le Volière,,,,,
,,,,,,,,lemare,Lemaré,,,,,
,,,,,,,,lerew,Lerew,,,,,
,,,,,,,,liebeskindberlin,Liebeskind Berlin,,,,,
,,,,,,,,liujo,Liu Jo,,,,,
,,,,,,,,lotto,Lotto,,,,,
,,,,,,,,luistrenker,Luis Trenker,,,,,
,,,,,,,,majesticfilatures,Majestic Filatures,,,,,
,,,,,,,,manilagrace,Manila Grace,,,,,
,,,,,,,,marceloburlon,Marcelo Burlon,,,,,
,,,,,,,,miabag,Mia Bag,,,,,
,,,,,,,,michaelkors,Michael Kors,,,,,
,,,,,,,,moncler,Moncler,,,,,
,,,,,,,,moorer,Moorer,,,,,
,,,,,,,,mou,Mou,,,,,
,,,,,,,,mu,MU,,,,,
,,,,,,,,museum,Museum,,,,,
,,,,,,,,newbalance,New Balance,,,,,
,,,,,,,,nike,Nike,,,,,
,,,,,,,,oakwood,Oakwood,,,,,
,,,,,,,,orciani,Orciani,,,,,
,,,,,,,,palomabarcelo,Paloma Barcelò,,,,,
,,,,,,,,paolopecora,Paolo Pecora,,,,,
,,,,,,,,people,People,,,,,
,,,,,,,,peuterey,Peuterey,,,,,
,,,,,,,,philippemodel,Philippe Model,,,,,
,,,,,,,,pinko,Pinko,,,,,
,,,,,,,,poloralphlauren,Polo Ralph Lauren,,,,,
,,,,,,,,redwings,Red Wings,,,,,
,,,,,,,,refrigue,Refrigue,,,,,
,,,,,,,,regia,Regi A.,,,,,
,,,,,,,,robertfriedman,Robert Friedman,,,,,
,,,,,,,,savetheduck,Save the duck,,,,,
,,,,,,,,semicouture,Semi Couture,,,,,
,,,,,,,,serafini,Serafini,,,,,
,,,,,,,,siviglia,Siviglia,,,,,
,,,,,,,,spiewak,Spiewak,,,,,
,,,,,,,,stoneisland,Stone Island,,,,,
,,,,,,,,sun67,Sun 68,,,,,
,,,,,,,,swisschriss,Swiss Chriss,,,,,
,,,,,,,,tagliatore,Tagliatore,,,,,
,,,,,,,,thomkrom,Thom Krom,,,,,
,,,,,,,,tods,Tod´s,,,,,
,,,,,,,,truenyc,True Nyc,,,,,
,,,,,,,,uspolo,U.S. Polo,,,,,
,,,,,,,,ugg,UGG,,,,,
,,,,,,,,victoriabeckham,Victoria Beckham,,,,,
,,,,,,,,wollrich,Wollrich,,,,,
,,,,,,,,twinset,Twin-Set,,,,,
,,,,,,,,whoareyou,Who are you?,,,,,
,,,,,,,,zanellato,Zanellato,,,,,
,,,,,,,,samedelman,Sam Edelman,,,,,
,,,,,,,,maison,Maison Scotch,,,,,
,,,,,,,,saucony,Saucony,,,,,
,,,,,,,,moschinolove,Moschino Love,,,,,
,,,,,,,,guess,Guess,,,,,
,,,,,,,,jucca,Jucca,,,,,
,,,,,,,,brunello,Brunello,,,,,
,,,,,,,,ana,Ana Alcazar,,,,,
,,,,,,,,moschinocheap,Moschino Cheap,,,,,
,,,,,,,,stefanocalmonte,Stefano Calmonte,,,,,
,,,,,,,,closed,Closed,,,,,
,,,,,,,,aereonautica,Aeronautica Militare,,,,,
,,,,,,,,mauro,Mauro Grifoni,,,,,
,,,,,,,,converse,Converse,,,,,
,,,,,,,,crossley,Crossley,,,,,
,,,,,,,,frankie,Frankie Morello,,,,,
,,,,,,,,weg,Weg,,,,,
,,,,,,,,valentino,Valentino,,,,,
,,,,,,,,palomitas,Palomitas,,,,,
,,,,,,,,lacarrie,La Carrie,,,,,
,,,,,,,,barba,Barba,,,,,
,,,,,,,,freedomday,Freedomday,,,,,
,,,,,,,,rebel,Hogan Rebel,,,,,
,,,,,,,,springa,Springa,,,,,
,,,,,,,,mirko,Mirko Buffini,,,,,
,,,,,,,,sunboo,SUNBOO,,,,,
,,,,,,,,jacob100,Jacob100,,,,,
,,,,,,,,360sweater,360 Sweater,,,,,
seasonNew,text,SameForAll,false,false,Saison,Season,Season,,,,,,SingleLine,
