productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew,variantKey,excludedInStore,publish
main,1,M0E0000000001,EUR 17000;USD 18700,standard,Sale>Men>Shoes;Men>Shoes>Sneakers,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,Sneakers New Balance multi,,newbalance-sneakers-MT980BB-multi,,,,Sneakers New Balance multi,,newbalance-sneakers-MT980BB-multi,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,black,multi,,multi,,,,business,men,s15,,,,,M0E0000000001,uk,TRUE
,12,M0E0000000012,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,white,multi,,multi,,,,evening,men,s15,,,,,M0E0000000012,uk,TRUE
,13,M0E0000000013,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,blue,multi,,multi,,,,business,men,s15,,,,,M0E0000000013,uk,TRUE
,14,M0E0000000014,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,blue,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000014,uk,TRUE
,15,M0E0000000015,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,blue,multi,,multi,,,,evening,men,s15,,,,,M0E0000000015,uk,TRUE
,16,M0E0000000016,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,brown,multi,,multi,,,,business,men,s15,,,,,M0E0000000016,uk,TRUE
,17,M0E0000000017,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,brown,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000017,uk,TRUE
,18,M0E0000000018,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,brown,multi,,multi,,,,evening,men,s15,,,,,M0E0000000018,uk,TRUE
,19,M0E0000000019,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,turquoise,multi,,multi,,,,business,men,s15,,,,,M0E0000000019,uk,TRUE
,20,M0E0000000020,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,turquoise,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000020,uk,TRUE
,21,M0E0000000021,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,turquoise,multi,,multi,,,,evening,men,s15,,,,,M0E0000000021,uk,TRUE
,22,M0E0000000022,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,petrol,multi,,multi,,,,business,men,s15,,,,,M0E0000000022,uk,TRUE
,23,M0E0000000023,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,petrol,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000023,uk,TRUE
,24,M0E0000000024,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,petrol,multi,,multi,,,,evening,men,s15,,,,,M0E0000000024,uk,TRUE
,25,M0E0000000025,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,green,multi,,multi,,,,business,men,s15,,,,,M0E0000000025,uk,TRUE
,26,M0E0000000026,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,green,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000026,uk,TRUE
,27,M0E0000000027,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,green,multi,,multi,,,,evening,men,s15,,,,,M0E0000000027,uk,TRUE
,28,M0E0000000028,EUR 17000;USD 18700,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,red,multi,,multi,,,,business,men,s15,,,,,M0E0000000028,uk,TRUE
,29,M0E0000000029,EUR 15000;USD 16500,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,red,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000029,uk,TRUE
,30,M0E0000000030,EUR 18000;USD 19800,standard,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,red,multi,,multi,,,,evening,men,s15,,,,,M0E0000000030,uk,TRUE
,31,M0E0000000031,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,black,multi,,multi,,,,business,men,s15,,,,,M0E0000000031,,TRUE
,32,M0E0000000032,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,black,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000032,,TRUE
,33,M0E0000000033,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,black,multi,,multi,,,,evening,men,s15,,,,,M0E0000000033,,TRUE
,34,M0E0000000034,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,grey,multi,,multi,,,,business,men,s15,,,,,M0E0000000034,,TRUE
,35,M0E0000000035,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,grey,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000035,,TRUE
,36,M0E0000000036,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,grey,multi,,multi,,,,evening,men,s15,,,,,M0E0000000036,,TRUE
,37,M0E0000000037,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,beige,multi,,multi,,,,business,men,s15,,,,,M0E0000000037,,TRUE
,38,M0E0000000038,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,beige,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000038,,TRUE
,39,M0E0000000039,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,beige,multi,,multi,,,,evening,men,s15,,,,,M0E0000000039,,TRUE
,40,M0E0000000040,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,white,multi,,multi,,,,business,men,s15,,,,,M0E0000000040,,TRUE
,41,M0E0000000041,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,white,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000041,,TRUE
,42,M0E0000000042,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,white,multi,,multi,,,,evening,men,s15,,,,,M0E0000000042,,TRUE
,43,M0E0000000043,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,blue,multi,,multi,,,,business,men,s15,,,,,M0E0000000043,,TRUE
,44,M0E0000000044,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,blue,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000044,,TRUE
,45,M0E0000000045,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,blue,multi,,multi,,,,evening,men,s15,,,,,M0E0000000045,,TRUE
,46,M0E0000000046,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,brown,multi,,multi,,,,business,men,s15,,,,,M0E0000000046,,TRUE
,47,M0E0000000047,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,brown,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000047,,TRUE
,48,M0E0000000048,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,brown,multi,,multi,,,,evening,men,s15,,,,,M0E0000000048,,TRUE
,49,M0E0000000049,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,turquoise,multi,,multi,,,,business,men,s15,,,,,M0E0000000049,,TRUE
,50,M0E0000000050,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,turquoise,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000050,,TRUE
,51,M0E0000000051,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,turquoise,multi,,multi,,,,evening,men,s15,,,,,M0E0000000051,,TRUE
,52,M0E0000000052,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,petrol,multi,,multi,,,,business,men,s15,,,,,M0E0000000052,,TRUE
,53,M0E0000000053,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,petrol,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000053,,TRUE
,54,M0E0000000054,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,petrol,multi,,multi,,,,evening,men,s15,,,,,M0E0000000054,,TRUE
,55,M0E0000000055,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,green,multi,,multi,,,,business,men,s15,,,,,M0E0000000055,,TRUE
,56,M0E0000000056,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,green,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000056,,TRUE
,57,M0E0000000057,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,green,multi,,multi,,,,evening,men,s15,,,,,M0E0000000057,,TRUE
,58,M0E0000000058,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,red,multi,,multi,,,,business,men,s15,,,,,M0E0000000058,,TRUE
,59,M0E0000000059,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,red,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000059,,TRUE
,60,M0E0000000060,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,red,multi,,multi,,,,evening,men,s15,,,,,M0E0000000060,,TRUE
,61,M0E0000000061,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,black,multi,,multi,,,,business,men,s15,,,,,M0E0000000061,,TRUE
,62,M0E0000000062,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,black,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000062,,TRUE
,63,M0E0000000063,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,black,multi,,multi,,,,evening,men,s15,,,,,M0E0000000063,,TRUE
,64,M0E0000000064,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,grey,multi,,multi,,,,business,men,s15,,,,,M0E0000000064,,TRUE
,65,M0E0000000065,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,grey,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000065,,TRUE
,66,M0E0000000066,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,grey,multi,,multi,,,,evening,men,s15,,,,,M0E0000000066,,TRUE
,67,M0E0000000067,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,beige,multi,,multi,,,,business,men,s15,,,,,M0E0000000067,,TRUE
,68,M0E0000000068,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,beige,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000068,,TRUE
,69,M0E0000000069,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,beige,multi,,multi,,,,evening,men,s15,,,,,M0E0000000069,,TRUE
,70,M0E0000000070,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,white,multi,,multi,,,,business,men,s15,,,,,M0E0000000070,,TRUE
,71,M0E0000000071,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,white,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000071,,TRUE
,72,M0E0000000072,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,white,multi,,multi,,,,evening,men,s15,,,,,M0E0000000072,,TRUE
,73,M0E0000000073,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,blue,multi,,multi,,,,business,men,s15,,,,,M0E0000000073,,TRUE
,74,M0E0000000074,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,blue,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000074,,TRUE
,75,M0E0000000075,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,blue,multi,,multi,,,,evening,men,s15,,,,,M0E0000000075,,TRUE
,76,M0E0000000076,EUR 17000;USD 18700,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,brown,multi,,multi,,,,business,men,s15,,,,,M0E0000000076,,TRUE
,77,M0E0000000077,EUR 15000;USD 16500,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,brown,multi,,multi,,,,sporty,men,s15,,,,,M0E0000000077,,TRUE
,78,M0E0000000078,EUR 18000;USD 19800,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,brown,multi,,multi,,,,evening,men,s15,,,,,M0E0000000078,,TRUE
