sku,quantityOnStock,supplyChannel,expectedDelivery,restockableInDays
M0E0000000309,107,dach,2025-11-30,
M0E0000000310,134,uk,,
M0E0000000314,107,dach,,
M0E0000000315,134,uk,,
M0E0000000319,118,dach,,
M0E0000000320,197,uk,,
M0E0000000324,158,dach,,
M0E0000000325,192,uk,,
M0E0000000329,110,dach,,
M0E0000000330,162,uk,2025-12-06,
M0E0000000334,108,dach,,
M0E0000000335,145,uk,,
M0E0000000339,177,dach,,
M0E0000000340,96,uk,,
M0E0000000344,140,dach,2025-12-07,
M0E0000000345,171,uk,,
M0E0000000349,166,dach,,
M0E0000000350,199,uk,,
M0E0000000354,137,dach,,
M0E0000000355,198,uk,,
M0E0000000359,95,dach,,
M0E0000000360,139,uk,,
M0E0000000364,199,dach,,
M0E0000000365,94,uk,2025-12-01,
M0E0000000369,117,dach,,
M0E0000000370,144,uk,,
M0E0000000374,54,dach,,
M0E0000000375,88,uk,,
M0E0000000379,181,dach,2025-11-28,
M0E0000000380,199,uk,,
M0E0000000384,141,dach,,
M0E0000000385,130,uk,,
M0E0000000389,99,dach,,
M0E0000000390,78,uk,,
M0E0000000394,94,dach,,
M0E0000000395,79,uk,,
M0E0000000399,135,dach,,
M0E0000000400,155,uk,2025-12-06,
M0E0000000404,183,dach,,
M0E0000000405,126,uk,,
M0E0000000409,180,dach,,
M0E0000000410,122,uk,,
M0E0000000414,146,dach,2025-12-07,
M0E0000000415,109,uk,,
M0E0000000419,103,dach,,
M0E0000000420,188,uk,,
M0E0000000424,92,dach,,
M0E0000000425,110,uk,,
M0E0000000429,184,dach,,
M0E0000000430,164,uk,,
M0E0000000434,186,dach,,
M0E0000000435,190,uk,2025-12-06,
M0E0000000439,52,dach,,
M0E0000000440,140,uk,,
M0E0000000444,104,dach,,
M0E0000000445,109,uk,,
M0E0000000449,160,dach,2025-11-30,
M0E0000000450,137,uk,,
M0E0000000454,131,dach,,
M0E0000000455,118,uk,,
M0E0000000459,125,dach,,
M0E0000000460,199,uk,,
M0E0000000464,179,dach,,
M0E0000000465,133,uk,,
M0E0000000469,64,dach,,
M0E0000000470,80,uk,2025-11-30,
M0E0000000474,193,dach,,
M0E0000000475,135,uk,,
M0E0000000479,161,dach,,
M0E0000000480,61,uk,,
M0E0000000484,67,dach,2025-11-28,
M0E0000000485,112,uk,,
M0E0000000489,55,dach,,
M0E0000000490,95,uk,,
M0E0000000494,198,dach,,
M0E0000000495,64,uk,,
M0E0000000499,123,dach,,
M0E0000000500,96,uk,,
M0E0000000504,162,dach,,
M0E0000000505,168,uk,2025-12-10,
M0E0000000509,162,dach,,
M0E0000000510,158,uk,,
